number,chat_room,theme,number_docs,processing_time,model,topic01,topic02,topic03,ca,cp,npmi,umass
122,ManageIQ/manageiq,Cloud computing,"75,738","50,727",LDA,work test provider manageiq issue add code thing create user ,gem merge good work git time master version issue update ,error rail block file start fail rake ruby method test ,0.343086301,0.062633073,-0.013445269,-2.290326446
123,ManageIQ/manageiq,Cloud computing,"75,738",1079401,PTM,work test good merge time issue thing git master code ,error block rake require bundle gem start ruby nil fail ,work provider create add change file set manageiq user appliance ,0.222694294,0.063769706,-0.04081884,-2.93779609
124,ManageIQ/manageiq/ui,Graphical user interface; Cloud computing,"35,997","23,097,735",GPU-PDMM,work issue test code thing change time merge good create ,add button provider call method set list case controller user ,error file install require include render place message info screen ,0.46793348,0.162814279,0.011765602,-2.068895202
125,ManageIQ/manageiq/ui,Graphical user interface; Cloud computing,"35,997","19,804",LDA,work good merge issue thing code time test review fix ,button add provider call method work error code controller create ,version test file master error build fail work issue bower ,0.432213624,0.106475885,0.001988269,-2.284192575
126,ManageIQ/manageiq/ui,Graphical user interface; Cloud computing,"35,997",494412,PTM,work test issue good merge time thing version master update ,add button provider code work call create screen change api ,error info block require call fail rake render bundle top ,0.367982851,0.114039356,-0.022881795,-2.433756502
127,google/material-design-lite,Graphical user interface,"7,518","6,584,520",GPU-PDMM,mdl work material design div code project css build support ,component thing good time stuff people start lot menu provide ,issue add element file button test grid user error input ,0.467339129,0.187827944,0.004104961,-2.737697705
128,google/material-design-lite,Graphical user interface,"7,518","4,864",LDA,div css color button class mdl work content grid element ,material design mdl project google angular web good app time ,component work thing mdl issue release build test good add ,0.298963292,-0.041111284,-0.060622218,-3.224314165
129,google/material-design-lite,Graphical user interface,"7,518",124009,PTM,mdl component work material design css angular release create class ,div button content mdlcell label kembangkan image col color width ,thing issue good project code build time support stuff file ,0.329819819,-0.048865493,-0.042321045,-2.344073989
130,Mixer/developers,Games development; Application programming interface,"46,128","34,409,240",GPU-PDMM,work channel user chat api error interactive send request button ,code oauth issue app server websocket find url json response ,beam thing stuff question java good python add bit node,0.163184534,0.082796095,-0.023189262,-3.747244958
131,Mixer/developers,Games development; Application programming interface,"46,128","25,464",LDA,work code beam stuff issue thing api java python good ,channel user chat error request oauth token message endpoint send ,button control interactive stream game work channel update set click ,0.299867603,0.155434427,0.003230626,-3.617561294
132,Mixer/developers,Games development; Application programming interface,"46,128",772980,PTM,work code beam thing issue stuff api update good java ,channel user chat request error oauth message token endpoint send ,button stream interactive control game mixer set click create question ,0.270699841,0.154310727,-0.002986699,-3.635885683
133,mochajs/mocha,Software testing,"12,121","12,953,626",GPU-PDMM,mocha function file work error code return fail require promise ,test call run browser problem testing assertion start suite add ,reporter npm thing time check import expect output object app ,0.291790405,-0.07539753,-0.054176495,-3.822884142
134,mochajs/mocha,Software testing,"12,121","11,854",LDA,mocha test file work require node npm code browser issue ,function return var test error promise call expect itshould err ,test mocha fail file code work call error run describe ,0.284545123,-0.024252162,-0.051613764,-3.152056702
135,mochajs/mocha,Software testing,"12,121",328780,PTM,function return var promise error itshould expect err call callback ,test mocha file error fail require call function work run ,mocha test work code node issue testing browser npm good ,0.21230862,-0.139787143,-0.067045787,-4.014929844
136,MonoGame/MonoGame,Games development,"45,507","33,307,789",GPU-PDMM,monogame work game project build code support platform version good ,file content pipeline texture call render draw shader load type ,issue thing time stuff xna lot change class bit point ,0.451140652,0.073711232,-0.008280352,-2.423253345
137,MonoGame/MonoGame,Games development,"45,507","29,220",LDA,texture game render draw work call shader set class code ,project build monogame file work content pipeline platform version nuget ,monogame game work good thing engine time stuff code people ,0.438172978,0.009160162,-0.021033623,-3.333947965
138,MonoGame/MonoGame,Games development,"45,507",795980,PTM,game monogame work thing good time issue code stuff xna ,texture render draw call shader set class screen game method ,project build file monogame content platform work pipeline version nuget ,0.33147799,0.032898661,-0.036512274,-3.763741657
139,Microsoft/mwt-ds,[Machine learning] System; Software documentation,137,"119,152",GPU-PDMM,error azure change location feature list datum create custom interface ,code api access provide random type exploration base resource return ,service work decision reward learning time online thing client library ,0.349264902,0.118146905,-0.009230848,-2.507809859
140,Microsoft/mwt-ds,[Machine learning] System; Software documentation,137,177,LDA,error azure location reward type create time check valid appinsight ,api feature list access code change random base interface url ,work service decision code custom datum exploration learning online package ,0.302011013,0.091022283,-0.018427668,-2.641553051
141,Microsoft/mwt-ds,[Machine learning] System; Software documentation,137,4448,PTM,service error decision feature reward provide datum exploration create online ,work api azure location custom learning time check valid appinsight ,code change list access type random base interface question resource ,0.257178009,0.05168921,-0.028910524,-2.501110522
142,valor-software/ng2-bootstrap,Graphical user interface,"2,451","1,996,994",GPU-PDMM,bootstrap work modal component import angular npm problem module code ,issue template select update version chart table change beta set ,error div button find class directive public moment modaldirective function ,0.241200776,-0.005853768,-0.051222022,-3.254249254
143,valor-software/ng2-bootstrap,Graphical user interface,"2,451","1,679",LDA,error import div bootstrap template component module angular public modaldirective ,bootstrap work angular npm issue version update project beta problem ,modal component work select code open change bootstrap table click ,0.244734328,-0.000617651,-0.078570245,-3.550474635
144,valor-software/ng2-bootstrap,Graphical user interface,"2,451",44470,PTM,modal div component import button template open table click class ,work bootstrap issue problem select component add datepicker update chart ,error angular bootstrap npm import module version find beta app ,0.179009154,0.004755794,-0.06755074,-3.510835861
145,ngrx/store,Containers,"44,329","42,679,362",GPU-PDMM,state action store reducer component type export error function call ,work app ngrx thing angular time good route problem redux ,return change code issue map idea list form saga read ,0.262349521,-0.0585827,-0.042527318,-2.617079518
146,ngrx/store,Containers,"44,329","36,895",LDA,return state action export type reducer error import function payload ,work ngrx app angular module store code issue thing good ,store state action component reducer dispatch datum call object change ,0.153801652,-0.076209673,-0.05926196,-3.206116184
147,ngrx/store,Containers,"44,329",1095547,PTM,work ngrx app angular code good thing issue problem redux ,return export state type action import error function payload string ,store state action component reducer dispatch call object observable datum ,0.12577829,-0.076480369,-0.054960666,-3.747784785
148,lnug/london-node-jobs,Jobs,79,"85,478",GPU-PDMM,nodejs people interested hire developer team senior email dev experience ,node react london talk graphql good challenge thing industry shop ,work lnug tonight chat engineer job feel free post link ,0.280518892,-0.186954553,-0.036070517,-3.517456405
149,lnug/london-node-jobs,Jobs,79,133,LDA,node email react job post london talk level graphql meetup ,nodejs people work hire team interested senior tonight developer dev ,work lnug month recruiter great remote lead newsletter pay meet ,0.170507149,-0.230400473,-0.072883989,-4.536761422
150,lnug/london-node-jobs,Jobs,79,3148,PTM,experience engineer chat feel free join work recruiter full stack ,work people hire lnug node developer tonight senior dev react ,nodejs interested team job talk link role london share lot ,0.201337998,-0.183909495,-0.076419161,-4.087709938
151,numenta/public,[Machine learning] Research; Coding,"21,494","15,552,519",GPU-PDMM,nupic htm work time thing good code prediction problem file ,learn version build start algorithm test learning current system issue ,input column model layer datum cell sdr bit brain understand ,0.419204575,0.015553081,-0.027169296,-2.679727587
152,numenta/public,[Machine learning] Research; Coding,"21,494","17,381",LDA,input htm column prediction model layer cell learn datum time ,htm good work thing time people numenta nupic talk start ,nupic work version file python build install error code java ,0.385831732,-0.010602883,-0.034031061,-3.315079797
153,numenta/public,[Machine learning] Research; Coding,"21,494",413302,PTM,work htm time good thing nupic problem people start lot ,nupic file version python install work error build pip test ,input htm column model prediction learn layer cell algorithm sdr ,0.312733599,-0.029819123,-0.038250487,-2.67103326
154,pattern-lab/node,Patterns,"5,797","5,414,976",GPU-PDMM,work issue version node gulp lab npm project time good ,patternlab error engine template mustache change test start code atom ,pattern file build include plugin create add json problem folder ,0.234938331,-0.062436518,-0.052250028,-3.373854897
155,pattern-lab/node,Patterns,"5,797","4,836",LDA,pattern work include plugin template mustache engine file add parameter ,pattern file error build folder gulp work patternlab json task ,issue work version node npm gulp install patternlab test time ,0.175667155,-0.08223885,-0.067124828,-3.69505318
156,pattern-lab/node,Patterns,"5,797",119432,PTM,file version patternlab gulp build node engine npm work error ,issue work pattern time test good create lab bit support ,pattern include json template atom file render partial mustache read ,0.220375899,-0.062328077,-0.049418954,-3.308681215
157,uttesh/pdfngreport,Software testing,44,"35,917",GPU-PDMM,error file pdf stylesheet configurable xml debug xslt change maven ,report generate add xslvalueof fail problem work null release chart ,issue slash provide sample work path system code fine step ,0.245607272,0.055989685,-0.020034813,-3.378429995
158,uttesh/pdfngreport,Software testing,44,56,LDA,report error pdf generate uttesh fail problem null find filename ,file error change project xtse attribute allow element xslvalueof report ,work issue slash provide sample add fine path guess step ,0.224452156,0.059788207,-0.000717528,-2.157503148
159,uttesh/pdfngreport,Software testing,44,1114,PTM,file issue slash change provide xtse attribute allow element fine ,error work sample project xslvalueof system problem step file create ,report pdf generate uttesh add fail null find edit maven ,0.296506736,-0.038576353,-0.019674834,-2.09605548
160,PerfectlySoft/PerfectDocs,Web development; Software documentation,240,"87,274",GPU-PDMM,doc work mysql awesome good sqlite issue jira httprequest document ,quickstart change server readme add link pull upstream update sense ,thing jira time error file start info good edit night ,0.160945866,-0.155460258,-0.085882581,-4.144355935
161,PerfectlySoft/PerfectDocs,Web development; Software documentation,240,119,LDA,doc work mysql readme error httprequest document docs mongodb link ,good thing awesome jira time assign issue shoot swift screen ,quickstart add change server route pull feedback upstream review doc ,0.129536376,-0.183846142,-0.084286128,-5.163381388
162,PerfectlySoft/PerfectDocs,Web development; Software documentation,240,3078,PTM,awesome jira add server readme route pull upstream update info ,quickstart change thing time error assign issue swift feedback review ,doc work good mysql httprequest document docs shoot mongodb link ,0.215596295,-0.234334232,-0.093726912,-5.465826079
163,python-babel/babel/maintenance-corner,Web development; Graphical user interface; Software maintenance,"136,163","68,954,942",GPU-PDMM,eth testing mainnet real market reminder request day bca fed ,send account keth ether test kovan address github long support ,hour requested send add adb cad eec edd bef dbe ,-0.012867743,-0.527310641,-0.167844768,-8.174396623
164,python-babel/babel/maintenance-corner,Web development; Graphical user interface; Software maintenance,"136,163","53,013",LDA,request day eth hour requested send keth test kovan ether ,eth testing mainnet real market reminder account long github twitter ,eth send adb eec dbe fed bca eef ffc aba ,0.033633641,-0.60876304,-0.153662653,-10.15975011
165,python-babel/babel/maintenance-corner,Web development; Graphical user interface; Software maintenance,"136,163",1513044,PTM,eth send account test keth kovan ether github long support ,eth testing real mainnet market reminder adb ccfe xdbe cfaab ,eth request day hour requested send bca add cad eec ,0.059801089,-0.419696672,-0.137338387,-6.926031618
166,rchain/Releases,Blockchain; Release,42,"28,944",GPU-PDMM,github docker file lefthand compiler sdk project helloworldrho layer algorithm ,release con development commit rchain month channel write pro number ,node code contract filename update rosette terminal pasting layer compiler ,0.121288107,-0.075599074,-0.060814508,-3.769388724
167,rchain/Releases,Blockchain; Release,42,52,LDA,release development contract mercury sdk month active code helloworld rosette ,docker file helloworldrho con execute inputrho input command path rholang ,project commit rchain channel follow change membership architecture rchaincoop vlad ,0.108814605,-0.23052989,-0.077414492,-3.746788349
168,rchain/Releases,Blockchain; Release,42,849,PTM,helloworldrho contract project commit rchain follow change architecture sdk active ,release docker con mercury vlad folk github work rholang language ,file development channel execute inputrho membership rchaincoop month easy command ,0.160595549,-0.239402916,-0.051164019,-2.752597423
169,reactioncommerce/architecture,Patterns,140,"150,425",GPU-PDMM,work meteor test snapshot implement open component time question admin ,product catalog collection order publish thing add package good storefront ,reaction graphql shop create api store client mutation provide current ,0.218153572,0.002806372,-0.045818289,-2.735864943
170,reactioncommerce/architecture,Patterns,140,201,LDA,product catalog work shop collection create order thing publish good ,test snapshot reaction component time question architecture testing multitenant start ,meteor reaction graphql implement open user api current app store ,0.343486079,-0.060702216,-0.031690823,-3.787498532
171,reactioncommerce/architecture,Patterns,140,5149,PTM,meteor reaction graphql implement open user api current app architecture ,test snapshot reaction component time question work datum point testing ,product catalog shop work collection create order thing publish good ,0.325534232,-0.007133467,-0.038462145,-2.829645884
172,reactor/reactor,Web development,"38,024","35,642,328",GPU-PDMM,flux thread work error request call code mono test block ,return subscribe public context java void null throw object class ,case reactor operator stream issue time event thing reactive publisher ,0.255882162,0.095793661,-0.024282776,-2.757738316
173,reactor/reactor,Web development,"38,024","34,010",LDA,return public mono flux final call void method subscribe private ,thread flux request error operator case subscriber event info stream ,reactor spring issue work reactive code client connection release test ,0.239028879,0.025085834,-0.047660039,-2.833925501
174,reactor/reactor,Web development,"38,024",884165,PTM,return public info final void private string java main null ,reactor issue spring work reactive code test client api good ,flux thread error request call case operator mono subscriber subscribe ,0.253689299,0.038266956,-0.039705049,-3.269093875
175,reactjs/redux,Web development,"16,740","20,207,600",GPU-PDMM,component react redux work app render code error question type ,state action store reducer call prop datum pass object change ,return function import dispatch user export route div class default ,0.156697725,-0.022842386,-0.052554619,-3.361630204
176,reactjs/redux,Web development,"16,740","15,635",LDA,react redux app work code project start good build question ,state component action store return reducer redux function dispatch call ,import return div component react render route class export function ,0.195108118,-0.080118701,-0.067893701,-2.88616774
177,reactjs/redux,Web development,"16,740",374815,PTM,return import div export react default const render class component ,react redux work app code good project start question file ,component state action store function reducer call redux datum dispatch ,0.143032114,-0.068081098,-0.082815091,-3.831134514
178,researchgate/gradle-release,Software deployment; Configuration management,576,"358,250",GPU-PDMM,version plugin build project task file work fail subproject property ,release gradle commit tag snapshot create set false buildgradle command ,git jenkin push remote error branch origin master android credential ,0.145718944,-0.153442045,-0.096681925,-4.313970149
179,researchgate/gradle-release,Software deployment; Configuration management,576,559,LDA,version release plugin project commit tag snapshot subproject gradle create ,release git fail build jenkin error plugin remote origin push ,gradle work version plugin file build property set project find ,0.23739834,-0.112591928,-0.091195472,-5.485312282
180,researchgate/gradle-release,Software deployment; Configuration management,576,14562,PTM,release version commit tag snapshot work create plugin gradle git ,release fail error remote origin build git fetch run update ,version project plugin release gradle file subproject task property root ,0.142172724,-0.062562432,-0.076336205,-5.562432591
181,robocomp/robocomp,Software maintenance,177,"118,047",GPU-PDMM,robocomp start work installation install find osg instal ubuntu problem ,error fail file component rcmanager target command recipe directory rci ,gsoc project property year interested gitter warning deprecated student kharagpur ,0.167316407,-0.351857823,-0.076460464,-6.074802105
182,robocomp/robocomp,Software maintenance,177,159,LDA,work robocomp project idea year interested check gsoc start package ,component file rcmanager start error property directory rcis warning deprecated ,error fail installation install find osg target command recipe ubuntu ,0.144276857,-0.261417378,-0.064469,-5.587911543
183,robocomp/robocomp,Software maintenance,177,3987,PTM,error fail robocomp installation install find osg target command recipe ,start file work property component directory rcis warning deprecated rci ,project year component interested gsoc rcmanager version idea student mentor ,0.121342878,-0.289053213,-0.074861983,-5.864848917
184,flajann2/rubyneat,[Machine learning] System,10,"15,344",GPU-PDMM,rewrite alive reuse output kind hook fast rubyneat plan rust ,capture mind log lame ruby code alive reuse output interest ,format bandwidth mind rubyneat move rubyneatde site static simply work ,0.092868842,-0.109340559,-0.100009779,-3.286800927
185,flajann2/rubyneat,[Machine learning] System,10,23,LDA,reuse critter output capture final kind yaml incomplete code dump ,rubyneat simply ruby interest move rubyneatde site static format bandwidth ,rewrite mind alive plan rust work cms time complete lame ,0.126757448,-0.221577867,-0.096620192,-4.438222745
186,flajann2/rubyneat,[Machine learning] System,10,223,PTM,alive reuse output capture ruby site static format killer cms ,rubyneat rewrite simply mind critter plan interest bandwidth work time ,rust move rubyneatde kind dump lame game effort powerful interest ,0.120417843,-0.237602035,-0.098388033,-3.598954719
187,jdubray/sam-architecture,Patterns,556,"612,236",GPU-PDMM,action model view pattern function code proposal tla problem representation ,state redux nap reducer semantic sagas call update thunk render ,sam work time understand logic point case keep api application ,0.239290708,-0.139931017,-0.058604863,-5.225870309
188,jdubray/sam-architecture,Patterns,556,840,LDA,sam redux work understand sagas tla point code lot semantic ,action model state view nap function reducer proposal update render ,state pattern property model control machine step system nap code ,0.184918503,-0.104510261,-0.08621122,-4.278240656
189,jdubray/sam-architecture,Patterns,556,23653,PTM,action model state nap view function reducer proposal call update ,pattern state work problem architecture machine base design start write ,sam redux code semantic tla understand sagas time thunk point ,0.260992033,-0.144196739,-0.076993177,-4.27650149
190,scikit-learn/scikit-learn,[Machine learning] Libraries,"10,186","8,399,034",GPU-PDMM,work issue test good time scikitlearn model feature datum set ,code learn file cluster case import method sample list label ,python question sklearn thing bit release comment regression idea people ,0.331550927,0.035731274,-0.010231077,-2.050749028
191,scikit-learn/scikit-learn,[Machine learning] Libraries,"10,186","8,937",LDA,work issue good review time start learn scikitlearn great code ,test file python build version import issue work error scikitlearn ,model feature datum set class cluster work number data method ,0.364165138,0.093888043,0.008839493,-1.723203475
192,scikit-learn/scikit-learn,[Machine learning] Libraries,"10,186",204939,PTM,test issue work python build review version file merge release ,model feature datum class set number cluster test data method ,good work code time question thing learn scikitlearn start issue ,0.401966714,0.101475232,0.005885698,-1.923172625
193,semantic-release/semantic-release,Software deployment; Release,"4,868","4,290,050",GPU-PDMM,release semanticrelease plugin version semantic npm commit git publish tag ,repo build packagejson package gitlab update script thing travis doc ,work issue create github change set project add token test ,0.167717299,-0.117512441,-0.064306339,-3.210064926
194,semantic-release/semantic-release,Software deployment; Release,"4,868","3,324",LDA,commit release version semanticrelease change plugin tag file create branch ,work npm semanticrelease token issue set github repo problem user ,release semantic plugin semanticrelease git publish version push load tag ,0.154963942,-0.130984378,-0.053858641,-3.087565006
195,semantic-release/semantic-release,Software deployment; Release,"4,868",111829,PTM,version release commit semanticrelease plugin change config file packagejson add ,work semanticrelease npm git issue branch tag repo github push ,release semantic plugin semanticrelease npm load git publish version fail ,0.044193117,-0.227022233,-0.070491266,-3.864800892
196,senecajs/seneca-in-practice,Microservices; Coding,76,"44,794",GPU-PDMM,seneca system msg flow senecas guide great convert running refer ,service issue microservice user server find object run status doc ,error var fuge plugin exercice oisin nevermind overwrite cmd esh ,0.145720812,-0.413115279,-0.100250109,-8.192354031
197,senecajs/seneca-in-practice,Microservices; Coding,76,68,LDA,seneca service issue fuge webcam find object step run micro ,seneca var microservice update create function work exercise log endpoint ,error plugin senecajs server node mesh process specific system idea ,0.203467345,-0.081919342,-0.053660266,-3.298865945
198,senecajs/seneca-in-practice,Microservices; Coding,76,1458,PTM,service error plugin issue fuge log find object step sample ,var microservice update senecajs run micro access node requireseneca doc ,seneca user create webcam function work exercise output endpoint status ,0.161670448,-0.091390191,-0.070267159,-3.073756275
199,milessabin/shapeless,Back-end,"42,131","45,538,426",GPU-PDMM,type implicit case def class hlist val string hnil object ,work shapeless thing compile code time test good idea create ,scala problem find method compiler issue macro question add bit ,0.268272539,0.05071885,-0.024946213,-2.273665634
200,milessabin/shapeless,Back-end,"42,131","36,658",LDA,type case class hlist implicit instance work function coproduct generic ,shapeless work compile code time thing scala problem good test ,def implicit val scala type case hnil class string int ,0.311431628,0.00426866,-0.039825664,-3.0008511
201,milessabin/shapeless,Back-end,"42,131",988181,PTM,shapeless work compile time code scala thing problem issue good ,type case class hlist implicit instance work function generic parameter ,def implicit val scala hnil case int class string extend ,0.336271988,0.032695679,-0.021298109,-2.404853339
202,simpleinvoices/simpleinvoices,Web development,20,"17,230",GPU-PDMM,php server apache debug online ubuntu github version work code ,fork code share accept invoice debug github repo user commit ,start glad test development support community bunch thing day late ,0.208709501,0.113378893,-0.047541436,-3.417168831
203,simpleinvoices/simpleinvoices,Web development,20,33,LDA,fork share invoice support community github code simple active project ,php work test port late ubuntu server odd apache mysql ,start security chat development glad stable accept main commit risk ,0.208572637,0.134688694,-0.039647861,-3.340780378
204,simpleinvoices/simpleinvoices,Web development,20,487,PTM,php start chat support stable port simple project channel online ,php work share invoice development code interested accept commit risk ,fork security glad community github main bunch thing ubuntu apache ,0.224723699,-0.023806556,-0.069041555,-4.600395249
205,snipe/snipe-it,Web development,"72,178","51,350,210",GPU-PDMM,asset user error file snipeit php issue check install ldap ,work time table code script start app support migration exist ,add thing good model people company request system stuff search ,0.340203684,0.076951512,-0.002093542,-2.543867713
206,snipe/snipe-it,Web development,"72,178","54,286",LDA,work issue time thing good snipeit version stuff snipe lot ,asset user import field ldap check create location model add ,php error file install snipeit server apache directory artisan set ,0.27656103,0.072621159,-0.00823017,-2.427934129
207,snipe/snipe-it,Web development,"72,178",1158902,PTM,php error artisan file apache wwwdata directory null composer root ,work snipeit issue file error server install version thing time ,asset user import ldap field check create location model add ,0.259688582,0.009443153,-0.031773745,-2.251642039
208,sourcejs/Source,Graphical user interface,732,"591,275",GPU-PDMM,spec file npm work source style issue update thing install ,code button html css release template include example error classbutton ,sourcejs plugin project component folder create setup user question middleware ,0.320961555,0.072213442,-0.018605018,-2.720041812
209,sourcejs/Source,Graphical user interface,732,859,LDA,sourcejs project npm folder plugin issue install version release setup ,spec component button sourcejs work style css template middleware code ,file plugin source html error change err infojson comment directory ,0.213803785,-0.003290358,-0.034953778,-2.909146177
210,sourcejs/Source,Graphical user interface,732,24594,PTM,button npm classbutton err description typesubmit pseudoclass var radius second ,sourcejs plugin project work folder issue install setup version user ,spec file component create code source style html css update ,0.33161071,-0.028591898,-0.00835365,-2.682933776
211,spring-cloud/spring-cloud-security,Authentication; Distributed software development,"1,728","1,526,533",GPU-PDMM,token server work user resource client authorization access issue code ,request app header application add bean bearer public return endpoint ,oauth spring zuul security authentication boot cloud session debug microservice ,0.302942567,0.075485754,-0.021602861,-4.00480797
212,spring-cloud/spring-cloud-security,Authentication; Distributed software development,"1,728","1,240",LDA,token server user resource request zuul client authorization access oauth ,spring work issue boot oauth cloud case version security problem ,oauth resttemplate debug filter bean public return class exec call ,0.2988646,-0.116034523,-0.042157997,-4.788952792
213,spring-cloud/spring-cloud-security,Authentication; Distributed software development,"1,728",37341,PTM,token server user resource request client zuul authorization access authentication ,spring oauth work issue cloud create case security boot session ,oauth filter public class return clientcontext resttemplate bean exception null ,0.34260785,-0.01681865,-0.000469582,-4.449699646
214,spring-projects/spring-security,Authentication,"7,945","9,404,721",GPU-PDMM,spring security request oauth work authentication filter server client issue ,token public return access class exception throw void configuration protect ,user login session set app application problem authenticate implement redirect ,0.312218647,0.228987989,0.007248231,-3.193397917
215,spring-projects/spring-security,Authentication,"7,945","8,647",LDA,public user return exception class method throw void filter null ,token user oauth request server login authentication client spring session ,spring security work boot issue project code sample test problem ,0.389594356,0.200975326,0.033648818,-2.926773984
216,spring-projects/spring-security,Authentication,"7,945",215021,PTM,spring security work issue boot add method filter problem test ,public return exception class throw void protect extend null user ,user request token oauth authentication server login client access session ,0.434375385,0.259263224,0.054415932,-2.717937808
217,spring-projects/spring-security-oauth,Authentication,"5,708","6,282,094",GPU-PDMM,token client user request access public code return create jwt ,oauth authentication endpoint session redirect application question test implement config ,server spring work security resource login app authorization boot problem ,0.233241197,0.097759757,-0.031174541,-3.96106291
218,spring-projects/spring-security-oauth,Authentication,"5,708","5,265",LDA,spring debug work release boot nio exec emailservice sample releasejar ,token server oauth user client spring login resource access app ,oauth public return exception authentication class void throw client method ,0.243688228,0.019123062,-0.047655009,-3.588367552
219,spring-projects/spring-security-oauth,Authentication,"5,708",136594,PTM,public oauth debug exception return void nio exec throw release ,token server user client resource access request login app authorization ,spring oauth work security boot endpoint add question configure sample ,0.201211421,0.062071939,-0.041945252,-4.898597495
220,sorintlab/stolon,Cloud computing,"2,428","4,308,365",GPU-PDMM,keeper error info master cmdkeepergo database file start stolonkeeper fail ,cluster sentinel etcd issue standby backup consul change check pod ,stolon work proxy stolonctl node problem command connection provide wale ,0.171654712,-0.196373752,-0.066228122,-2.89063973
221,sorintlab/stolon,Cloud computing,"2,428","3,671",LDA,error info cmdkeepergo keeper database stolonkeeper fail file master cluster ,keeper stolonctl error stolon command uid pod init string true ,stolon cluster keeper master etcd proxy work issue standby backup ,0.089490675,-0.315416654,-0.093588992,-4.47608461
222,sorintlab/stolon,Cloud computing,"2,428",113987,PTM,stolon work cluster standby backup issue postgre node master consul ,keeper cluster error sentinel stolonctl master datum data etcd pod ,error info cmdkeepergo database file stolonkeeper keeper jul fail master ,0.090253528,-0.239488466,-0.087101015,-4.349967204
223,survivejs/maintenance,Software documentation; Software maintenance,"1,749","946,092",GPU-PDMM,good book chapter work site cool time idea thing bit ,code package pretty npm doc push style github case error ,issue project mrm problem tool understand solve open big task ,0.303521843,-0.030494025,-0.034511914,-3.497233299
224,survivejs/maintenance,Software documentation; Software maintenance,"1,749",688,LDA,chapter book good bit site webpack write feel content great ,good problem project lot react link issue add point people ,code work read book pretty cool rule good comment add ,0.498257799,0.066547067,0.011704115,-1.681474361
225,survivejs/maintenance,Software documentation; Software maintenance,"1,749",22158,PTM,good book chapter site cool bit write content nice project ,code read problem package people pretty rule comment thing check ,work time idea add issue mrm easy lot npm react ,0.342911152,0.029314561,-0.017322404,-3.81513897
226,thephpleague/tactician-bernard,Service-oriented architecture,54,"24,011",GPU-PDMM,receiver interface bus command consumer register bernard router middleware message ,command bit version getname samebusreceiver queuedcommand multiple queue wrapping method ,command middleware bernard overhead wrapper interface increase absolutely aware complex ,0.071817153,-0.147129112,-0.066026458,-3.995475585
227,thephpleague/tactician-bernard,Service-oriented architecture,54,40,LDA,command bernard bit version thing mrk question confused queueing single ,interface receiver implement work queuedcommand class bernardmessage increase queue favor ,command bus consumer middleware message register getname side producer samebusreceiver ,0.138038144,-0.159366483,-0.039863823,-3.839606024
228,thephpleague/tactician-bernard,Service-oriented architecture,54,705,PTM,bus message queuedcommand bit side samebusreceiver router instance wrap simple ,receiver middleware register thing getname increase producer favor sense marker ,command interface bernard consumer implement work version class bernardmessage queue ,0.137290509,-0.124901037,-0.039177154,-3.539656221
229,TestAndCode/Lobby,Testing; Coding,"5,500","8,879,475",GPU-PDMM,test podcast chris nejame kyle magocs fixture formartha dima spivak ,code work matt python rasband function thing call case def ,pytest brian okken file testing good moore lot start idea ,0.156831447,-0.331991763,-0.060534612,-4.370964718
230,TestAndCode/Lobby,Testing; Coding,"5,500","7,824",LDA,test podcast chris nejame formartha dima spivak moore thing greg ,test podcast kyle magocs brian okken tyler pooley testing matt ,test podcast fixture pytest function file code call class work ,0.109285036,-0.272037228,-0.049653362,-3.486277157
231,TestAndCode/Lobby,Testing; Coding,"5,500",201924,PTM,test podcast chris nejame kyle magocs formartha brian okken dima ,test podcast code matt pytest rasband python testing question file ,test fixture podcast function pytest class def call return pass ,0.080469974,-0.230635265,-0.052374575,-3.612524332
232,twbs/bootstrap,Graphical user interface; Mobile development,"17,296","12,502,524",GPU-PDMM,div work code css image link html add width problem ,bootstrap good project question website create file learn site start ,div class button element row column nav size form container,0.464987008,0.04215596,-0.031507444,-2.549034911
233,twbs/bootstrap,Graphical user interface; Mobile development,"17,296","13,302",LDA,div button span nav html classrow colmd img link lia ,bootstrap class image work element css width button navbar add ,bootstrap code work css good project link learn file website ,0.307524792,-0.122973966,-0.062317371,-4.370146367
234,twbs/bootstrap,Graphical user interface; Mobile development,"17,296",338615,PTM,class image bootstrap work element button width navbar add row ,bootstrap code work css good link project file html learn ,div button span classrow lia classbtn nav html classcolxs link ,0.251951896,-0.116282946,-0.052517262,-3.690914171
235,angular-ui/ui-router,Web development,"9,241","8,621,207",GPU-PDMM,work uirouter angular error route app module import parent issue ,resolve return function controller code promise true add type question ,state transition component url view hook param parameter load call ,0.176390681,-0.047207705,-0.036926836,-2.754272902
236,angular-ui/ui-router,Web development,"9,241","5,831",LDA,state transition resolve view component url route parent child parameter ,return function state resolve import transition component error url class ,work uirouter angular app issue thing router code beta module ,0.118872052,-0.020311736,-0.031962028,-3.064514165
237,angular-ui/ui-router,Web development,"9,241",155874,PTM,work uirouter angular app issue code router thing module error ,state component resolve view transition url route param parameter controller ,return transition function resolve import error export url promise class ,0.054859672,-0.030888392,-0.045283551,-3.362424844
238,username-availability-checker/Lobby,Authentication,351,"129,861",GPU-PDMM,problem test check project work gsoc merge fail issue time ,request medium website error facebook profile status code return import ,version ios safari iphone chrome browser find feel bug file ,0.307377008,0.171643156,0.006667872,-3.064322579
